SerialNumber,EpochTime,Latitude,Longitude,APName,RSSI,Frequency,
108,1601188905853,26.5267437,128.02826328,AP001,-71, 2462,
108,1601188905853,26.5267437,128.02826328,AP004,-79, 2412,
108,1601188905853,26.5267437,128.02826328,AP002,-81, 2447,
109,1601188906851,26.52674491,128.02825531,AP003,-26, 2432,
109,1601188906851,26.52674491,128.02825531,AP004,-89, 2412,
110,1601188907848,26.52675513,128.02824981,AP003,-26, 2432,
110,1601188907848,26.52675513,128.02824981,AP004,-89, 2412,
111,1601188908845,26.5267642,128.02825,AP003,-40, 2432,
111,1601188908845,26.5267642,128.02825,AP001,-70, 2462,
111,1601188908845,26.5267642,128.02825,AP002,-84, 2447,
112,1601188909839,26.52677308,128.02824994,AP003,-40, 2432,
112,1601188909839,26.52677308,128.02824994,AP001,-70, 2462,
112,1601188909839,26.52677308,128.02824994,AP002,-84, 2447,
113,1601188910840,26.52678284,128.02825159,AP003,-47, 2432,
113,1601188910840,26.52678284,128.02825159,AP001,-57, 2462,
113,1601188910840,26.52678284,128.02825159,AP004,-83, 2412,
113,1601188910840,26.52678284,128.02825159,AP002,-85, 2447,
114,1601188911847,26.52679123,128.02825295,AP003,-47, 2432,
114,1601188911847,26.52679123,128.02825295,AP001,-57, 2462,
114,1601188911847,26.52679123,128.02825295,AP004,-83, 2412,
114,1601188911847,26.52679123,128.02825295,AP002,-85, 2447,
115,1601188912853,26.52679944,128.02825451,AP003,-53, 2432,
115,1601188912853,26.52679944,128.02825451,AP001,-71, 2462,
115,1601188912853,26.52679944,128.02825451,AP004,-82, 2412,
115,1601188912853,26.52679944,128.02825451,AP002,-85, 2447,
116,1601188913845,26.52680605,128.02825557,AP003,-53, 2432,
116,1601188913845,26.52680605,128.02825557,AP001,-71, 2462,
116,1601188913845,26.52680605,128.02825557,AP004,-82, 2412,
116,1601188913845,26.52680605,128.02825557,AP002,-85, 2447,
117,1601188914845,26.5268147,128.02825706,AP003,-53, 2432,
117,1601188914845,26.5268147,128.02825706,AP001,-79, 2462,
117,1601188914845,26.5268147,128.02825706,AP004,-81, 2412,
117,1601188914845,26.5268147,128.02825706,AP002,-86, 2447,
118,1601188915842,26.52682077,128.0282584,AP003,-53, 2432,
118,1601188915842,26.52682077,128.0282584,AP001,-79, 2462,
118,1601188915842,26.52682077,128.0282584,AP004,-81, 2412,
118,1601188915842,26.52682077,128.0282584,AP002,-86, 2447,
119,1601188916856,26.52682639,128.02825916,AP003,-63, 2432,
119,1601188916856,26.52682639,128.02825916,AP001,-66, 2462,
119,1601188916856,26.52682639,128.02825916,AP002,-81, 2447,
119,1601188916856,26.52682639,128.02825916,AP004,-83, 2412,
120,1601188917837,26.52683261,128.02826086,AP003,-63, 2432,
120,1601188917837,26.52683261,128.02826086,AP001,-66, 2462,
120,1601188917837,26.52683261,128.02826086,AP002,-81, 2447,
